base_title,n_imgs,csv_count,score,count_ok,ambiguous,files,prompt
18th-century_royal_portrait,2,2,4,True,False,18th-century_royal_portrait_202604061446.jpeg | 18th-century_royal_portrait_202604061447.jpeg,"18th-century royal portrait of the uploaded image, wearing luxurious baroque aristocratic outfit, lace collar, gold embroidery, oil painting style, dark dramatic background, elegant and noble look, highly detailed.Ratio[1:1]"
"A_monumental,_identity-locked",1,2,3,False,False,"A_monumental,_identity-locked_202604061447.jpeg","A monumental, identity-locked photorealistic sculpture installation.

SUBJECT: A colossal, hyper-realistic portrait sculpture of the specific man from the reference photo (image_0.png). The identity is paramount, featuring his exact facial structure, nose shape, high cheekbones, strong jawline, and preserved detailed skin texture, maintaining his youth.

EXPRESSION: His face has a distinct, subtle, and controlled smirk—a knowing, closed-mouth expression that is mischievous and slightly sinister, but is a direct extension of his original jaw and mouth structure, not a distorted broad grin. His direct, intense brown eyes are perfectly rendered, staring forward.

SCENE: The monumental face is bursting out from a jagged, massive hole in the side of a brutalist high-rise concrete apartment building. Broken rebar and concrete chunks frame the emergence.

ENVIRONMENT: The surrounding building facade is visible, with multiple windows, balconies, external air conditioning units, exposed pipes, and ventilation vents. People are seen on a distant street below, looking up, emphasizing the immense scale.

STYLE: Cinematic, highly detailed photography. Harsh, directional sunlight casts deep shadows, emphasizing the realism of the face and the raw, broken textures of the concrete and rebar. A true-to-life integration."
Abstract_cartoon_photo,1,1,2,True,False,Abstract_cartoon_photo_202604061447.jpeg,"Reimagine the uploaded photo in a bold, abstract cartoon style built from geometric shapes and a playful composition. Use only flat vector colors — red, yellow, blue, black, and white — with a thick, consistent black stroke outlining every individual element. Facial features should be minimal and stylized. Ensure clean symmetry and visual rhythm with overlapping shapes like squares, triangles, circles, curves, and lines. Absolutely no gradients or textures — just clean, flat fills on a white background. Optimized for vector rendering, square aspect ratio, graphic and iconic in tone."
Abstract_sculpture_inspired,2,2,3,True,False,Abstract_sculpture_inspired_202604061446.jpeg | Abstract_sculpture_inspired_202604061447.jpeg,"A 3D abstract realistic sculpture inspired by digital quilling. The subject is made from layered, ribbon-like lines and spirals in vibrant, multicolored paper tones — including shades of red, blue, yellow, green, and purple. The quilled forms twist and curl in intricate patterns, creating a vivid, decorative structure. Each ribbon has a slightly glossy surface with soft highlights and subtle shadows. The composition blends abstract curves with realistic lighting, evoking the look of hand-crafted colored quilling. Set against a clean white or softly lit background to emphasize the color contrast."
Action_figure_says,1,2,3,False,False,Action_figure_says_202604061448.jpeg,"make an action figure of me that says ""ADI BRILL"" and features ""[coffee, turtle, laptop, phone and headphones]"""
Action_figure_set,3,3,2,True,False,Action_figure_set_202604061447.jpeg | Action_figure_set_202604061447_2.jpeg | Action_figure_set_202604061448.jpeg,"CREATE hyper-realistic top-down flat-lay studio photograph of a custom collectible action-figure set representing the person [NAME] with accompanying branded props.

Center composition: a disassembled realistic doll with a photoreal human head 
(Preserve exact facial features from the uploaded reference image: no alterations, no artistic reinterpretation. Maintain true identity: same bone structure, same eyes, same nose, same mouth, identical hairstyle and face shape. Keep natural skin texture, wrinkles, beard stubble, and micro-expressions exactly as in the reference. No AI beautification, no smoothing, no cartoonization, no style changes on the face) 
placed in the middle.

Two alternate arms and a pair of alternate legs to the right, realistic fabric clothing (navy blazer, grey T-shirt with 'AI' logo, olive chinos, brown leather shoes).

To the left place a large branded Kinder Surprise egg (white and orange shell), a yellow surprise capsule, and scattered broken pieces of milk and white chocolate with realistic interior textures.

Top right: a small laptop model and a compact VR headset as extra props.
Bottom right: a clean white poster card with a friendly caricature portrait of [NAME] and bold text line:
First line: [NAME]
Second line: [SHORT_DESC]

Style: ultra-detailed hyper-realism, studio lighting, soft overhead softbox, subtle side fill reflector, even soft shadows, high micro-detail in skin pores, fabric weave, shoe leather grain, and chocolate fracture edges.

Materials: accurate specular reflections on plastic and leather, subsurface scattering on skin, slight sheen on chocolate fragments.

Camera: simulated medium format 100MP, 80–100mm equivalent, slight top-down perspective, f/5.6 for mostly sharp flat-lay with minimal falloff.

Post-processing: gentle local sharpening, warm neutral color grade, mild film grain (ISO 100 film feel), high dynamic range preserving highlights and shadow detail.

Emphasize: believable tiny imperfections - tiny thread pulls, fingerprint smudge on capsule, small seam lines on doll joints, slight asymmetry in head tilt - to avoid artificial symmetry.

Output: isolated on a clean off-white backdrop with generous negative space around the layout.
--ar 3:2 --v 5 --quality 2"
Add_annotations_doodles,4,2,2,False,True,Add_annotations_doodles_202604061447.jpeg | Add_annotations_doodles_202604061447_2.jpeg | Add_annotations_doodles_202604061447_3.jpeg | Add_annotations_doodles_202604061447_4.jpeg,"Use red ink to add handwritten [English] annotations, doodles, and scribbles; the doodle content mainly giving outfit roasting, highlighting accessories, color combos, or styling choices, and you can also add some small cutout fashion stickers."
Adi_Brill_Time,2,3,3,False,False,Adi_Brill_Time_202604061447.jpeg | Adi_Brill_Time_202604061448.jpeg,"Create a Time Magazine cover-worthy portrait featuring the person from the attached photo, captured in an authoritative and confident pose, wearing a tailored black suit and a Rolex watch. The image should look exactly like a professional magazine cover, maintaining the subject’s original facial structure, hairstyle, and natural expression. Use soft cinematic studio lighting with realistic skin tones and crisp detail for a premium editorial finish. Include the iconic red border frame, the TIME logo at the top, and the headline text: [“Person of the Year” - 2025] with the name [“Adi Brill”] beneath it in clean, modern typography. Background: elegant and sophisticated, complementing the subject’s outfit and the red tones of the frame - subtle depth of field, professional color grading, and a timeless magazine aesthetic. Ensure the entire image feels authentic, high-end, and photorealistic, suitable for an official Time Magazine cover."
Adi_Brill_vs,3,3,2,True,True,Adi_Brill_vs_202604061448.jpeg | Adi_Brill_vs_202604061448_2.jpeg | Adi_Brill_vs_202604061448_3.jpeg,"Create a Time Magazine cover-worthy portrait featuring the person from the attached photo, captured in an authoritative and confident pose, wearing a tailored black suit and a Rolex watch. The image should look exactly like a professional magazine cover, maintaining the subject’s original facial structure, hairstyle, and natural expression. Use soft cinematic studio lighting with realistic skin tones and crisp detail for a premium editorial finish. Include the iconic red border frame, the TIME logo at the top, and the headline text: [“Person of the Year” - 2025] with the name [“Adi Brill”] beneath it in clean, modern typography. Background: elegant and sophisticated, complementing the subject’s outfit and the red tones of the frame - subtle depth of field, professional color grading, and a timeless magazine aesthetic. Ensure the entire image feels authentic, high-end, and photorealistic, suitable for an official Time Magazine cover."
Afro_android_voguing,2,2,3,True,False,Afro_android_voguing_202604061447.jpeg | Afro_android_voguing_202604061447_2.jpeg,"jive-talking afro android voguing in a vintage sci-fi bodysuit, Afrofuturism, digital painting, concept art, hyperrealistic, insanely detailed and intricate, sharp focus, detailed face, robotic parts, beautiful background, ornate, high resolution, HDR, UHD, trending on Artstation"
Albert_Einstein_theory,5,4,3,False,True,Albert_Einstein_theory_202604061447.jpeg | Albert_Einstein_theory_202604061447_2.jpeg | Albert_Einstein_theory_202604061447_3.jpeg | Albert_Einstein_theory_202604061448.jpeg | Albert_Einstein_theory_202604061448_2.jpeg,Create a hyper realistic twitter post by Albert Einstein right after finishing the theory of relativity. include a selfie of the person from attached photo along with Albert Einstein where you can clearly see scribbled equations and a chalkboard in the background. have it visible that the post was liked by AI TIPS & TRICKS
